concurrency_level,total_attempts,success_count,conflict_count,conflict_rate_pct,double_bookings,mean_success_ms,p50_success_ms,p99_success_ms,mean_conflict_ms,p50_conflict_ms,p99_conflict_ms
1,50,50,0,0.0,0,0.2296,0.2174,0.4891,0.0,0.0,0.0
2,100,50,50,50.0,0,0.2543,0.251,0.3798,0.0518,0.043,0.209
5,250,50,200,80.0,0,0.2059,0.1992,0.3584,0.0313,0.0255,0.1007
10,500,50,450,90.0,0,0.2742,0.2847,0.519,0.0286,0.0219,0.1068
20,1000,50,950,95.0,0,0.3038,0.3128,0.4731,0.0282,0.0218,0.1069
50,2500,50,2450,98.0,0,0.3487,0.3048,1.7672,0.0259,0.0195,0.1155
100,5000,50,4950,99.0,0,0.2856,0.2758,0.5273,0.0238,0.0183,0.1028
