concurrency_level,trial_id,thread_id,status_code,result_type,latency_ms
2,28,0,409,CONFLICT_409,0.0389
2,29,1,200,SUCCESS_ACCEPTED,0.2695
2,29,0,409,CONFLICT_409,0.0442
2,30,1,200,SUCCESS_ACCEPTED,0.2614
2,30,0,409,CONFLICT_409,0.0445
2,31,1,200,SUCCESS_ACCEPTED,0.274
2,31,0,409,CONFLICT_409,0.0418
2,32,1,200,SUCCESS_ACCEPTED,0.2369
2,32,0,409,CONFLICT_409,0.0572
2,33,1,200,SUCCESS_ACCEPTED,0.2219
2,33,0,409,CONFLICT_409,0.0407
2,34,1,200,SUCCESS_ACCEPTED,0.2283
2,34,0,409,CONFLICT_409,0.0407
2,35,1,200,SUCCESS_ACCEPTED,0.3273
2,35,0,409,CONFLICT_409,0.0666
2,36,1,200,SUCCESS_ACCEPTED,0.4014
2,36,0,409,CONFLICT_409,0.0683
2,37,1,200,SUCCESS_ACCEPTED,0.2566
2,37,0,409,CONFLICT_409,0.0433
2,38,1,200,SUCCESS_ACCEPTED,0.229
2,38,0,409,CONFLICT_409,0.0436
2,39,1,200,SUCCESS_ACCEPTED,0.2535
2,39,0,409,CONFLICT_409,0.0409
2,40,1,200,SUCCESS_ACCEPTED,0.2498
2,40,0,409,CONFLICT_409,0.0394
2,41,1,200,SUCCESS_ACCEPTED,0.2263
2,41,0,409,CONFLICT_409,0.0481
2,42,1,200,SUCCESS_ACCEPTED,0.2361
2,42,0,409,CONFLICT_409,0.0401
2,43,1,200,SUCCESS_ACCEPTED,0.1873
2,43,0,409,CONFLICT_409,0.024
2,44,1,200,SUCCESS_ACCEPTED,0.3486
2,44,0,409,CONFLICT_409,0.0674
2,45,1,200,SUCCESS_ACCEPTED,0.2455
2,45,0,409,CONFLICT_409,0.0732
2,46,1,200,SUCCESS_ACCEPTED,0.2229
2,46,0,409,CONFLICT_409,0.0393
2,47,1,200,SUCCESS_ACCEPTED,0.2267
2,47,0,409,CONFLICT_409,0.0395
2,48,1,200,SUCCESS_ACCEPTED,0.2137
2,48,0,409,CONFLICT_409,0.0404
2,49,1,200,SUCCESS_ACCEPTED,0.202
2,49,0,409,CONFLICT_409,0.0354
2,50,1,200,SUCCESS_ACCEPTED,0.2599
2,50,0,409,CONFLICT_409,0.0397
5,1,4,200,SUCCESS_ACCEPTED,0.3028
5,1,2,409,CONFLICT_409,0.0422
5,1,3,409,CONFLICT_409,0.0267
5,1,0,409,CONFLICT_409,0.0258
5,1,1,409,CONFLICT_409,0.0248
5,2,4,200,SUCCESS_ACCEPTED,0.3053
5,2,0,409,CONFLICT_409,0.0658
5,2,2,409,CONFLICT_409,0.0286
5,2,3,409,CONFLICT_409,0.0255
5,2,1,409,CONFLICT_409,0.0676
5,3,4,200,SUCCESS_ACCEPTED,0.2682
5,3,2,409,CONFLICT_409,0.0377
5,3,0,409,CONFLICT_409,0.026
5,3,1,409,CONFLICT_409,0.0227
5,3,3,409,CONFLICT_409,0.0183
5,4,4,200,SUCCESS_ACCEPTED,0.2767
5,4,1,409,CONFLICT_409,0.1326
5,4,0,409,CONFLICT_409,0.0439
5,4,3,409,CONFLICT_409,0.1006
5,4,2,409,CONFLICT_409,0.0718
5,5,4,200,SUCCESS_ACCEPTED,0.2958
5,5,2,409,CONFLICT_409,0.0235
5,5,0,409,CONFLICT_409,0.0123
5,5,1,409,CONFLICT_409,0.0177
5,5,3,409,CONFLICT_409,0.0114
5,6,4,200,SUCCESS_ACCEPTED,0.3078
5,6,2,409,CONFLICT_409,0.043
5,6,3,409,CONFLICT_409,0.0744
5,6,0,409,CONFLICT_409,0.0829
5,6,1,409,CONFLICT_409,0.0738
5,7,4,200,SUCCESS_ACCEPTED,0.28
5,7,3,409,CONFLICT_409,0.0405
5,7,1,409,CONFLICT_409,0.0282
5,7,2,409,CONFLICT_409,0.0248
5,7,0,409,CONFLICT_409,0.0223
5,8,4,200,SUCCESS_ACCEPTED,0.3756
5,8,0,409,CONFLICT_409,0.0524
5,8,1,409,CONFLICT_409,0.0181
5,8,2,409,CONFLICT_409,0.0629
5,8,3,409,CONFLICT_409,0.0412
5,9,4,200,SUCCESS_ACCEPTED,0.3075
5,9,2,409,CONFLICT_409,0.046
5,9,0,409,CONFLICT_409,0.0299
5,9,1,409,CONFLICT_409,0.0269
5,9,3,409,CONFLICT_409,0.0368
5,10,4,200,SUCCESS_ACCEPTED,0.2964
