tier,count,mean_haversine_km,mean_osrm_km,mean_tortuosity,max_tortuosity,min_tortuosity,mean_diff_km,mean_score_distortion,mean_osrm_latency_ms,mean_haversine_latency_ms
Overall,50,13.34,16.75,1.2848,1.623,1.0753,3.41,0.102,1036.94,0.0296
Inner Urban (<6 km),11,4.15,5.68,1.3651,1.623,1.1595,1.54,0.0651,957.16,0.0304
Mid-City (6-12 km),16,8.41,10.85,1.2835,1.4887,1.1696,2.44,0.1059,1342.03,0.0273
Suburban (12-20 km),13,15.94,19.82,1.247,1.371,1.0993,3.88,0.1655,853.86,0.0364
Peripheral (>20 km),10,27.96,34.4,1.2474,1.4867,1.0753,6.44,0.0537,874.58,0.0234
